Артикул;Наименование;ТИП;стиль;"МРЦ руб";"цвет арматуры";"цвет абажура";"материал арматуры";"материал абажура";"цвет встройки";"цвет кабеля/цепи";производитель;цоколь;напряжение;"мощность ламп";"степень защиты";"кол-во ламп";диаметр;"диаметр абажура/плафона";ширина;высота;"диапазон регулировки min-max";коллекция;фото;вес;Количество
"LDW 9267-1 CHR";"Бра Lumina Deco Finezzia LDW 9267-1 CHR";Бра;Классический;7150;"белый, хром";белый;"металл, хрусталь, ткань";ткань;хром;;"Lumina Deco";E14;220-240;40;IP20;1;;150;250;380;;"FINEZZIA ";"https://luminadecoshop.ru/22337/bra-lumina-deco-finezzia-ldw-9267-1-chr.jpg;https://luminadecoshop.ru/22340/bra-lumina-deco-finezzia-ldw-9267-1-chr.jpg;https://luminadecoshop.ru/22346/bra-lumina-deco-finezzia-ldw-9267-1-chr.jpg;https://luminadecoshop.ru/22355/bra-lumina-deco-finezzia-ldw-9267-1-chr.jpg;https://luminadecoshop.ru/22363/bra-lumina-deco-finezzia-ldw-9267-1-chr.jpg;https://luminadecoshop.ru/22371/bra-lumina-deco-finezzia-ldw-9267-1-chr.jpg";3;2
"LDP 706 CHR";"Подвесной светильник Lumina Deco Braggi LDP 706 CHR";Светильники;Лофт;37800;хром;хром;"металл, стекло";металл;хром;"прозрачный, хром";"Lumina Deco";E27;220-240;40;IP20;1;400;400;;480;"500 - 1500";BRAGGI;"https://luminadecoshop.ru/23358/podvesnoj-svetilnik-lumina-deco-braggi-ldp-706-chr.jpg;https://luminadecoshop.ru/23362/podvesnoj-svetilnik-lumina-deco-braggi-ldp-706-chr.jpg;https://luminadecoshop.ru/23901/podvesnoj-svetilnik-lumina-deco-braggi-ldp-706-chr.jpg;https://luminadecoshop.ru/25834/podvesnoj-svetilnik-lumina-deco-braggi-ldp-706-chr.jpg";"7,5 ";8
"LDW 8903-1";"Бра Lumina Deco Negrio LDW 8903-1";Бра;Классический;9100;"черный, хром";черный;"металл, хрусталь, ткань";ткань;хром;-;"Lumina Deco";E14;220-240;40;IP20;1;-;140;250;400;;NEGRIO;"https://luminadecoshop.ru/22465/bra-lumina-deco-negrio-ldw-8903-1.jpg;https://luminadecoshop.ru/22468/bra-lumina-deco-negrio-ldw-8903-1.jpg;https://luminadecoshop.ru/22472/bra-lumina-deco-negrio-ldw-8903-1.jpg;https://luminadecoshop.ru/22486/bra-lumina-deco-negrio-ldw-8903-1.jpg;https://luminadecoshop.ru/25689/bra-lumina-deco-negrio-ldw-8903-1.jpg";3;14
"LDW 7019-4 PR";"Бра Lumina Deco Gusto LDW 7019-4 PR";Бра;Современный;16400;"прозрачный, хром";прозрачный;"металл, стекло, хрусталь";стекло;хром;;"Lumina Deco";G4;220-240;20;IP20;4;;;300;150;;GUSTO;"https://luminadecoshop.ru/22590/bra-lumina-deco-gusto-ldw-7019-4-pr.jpg;https://luminadecoshop.ru/22592/bra-lumina-deco-gusto-ldw-7019-4-pr.jpg;https://luminadecoshop.ru/22596/bra-lumina-deco-gusto-ldw-7019-4-pr.jpg;https://luminadecoshop.ru/25633/bra-lumina-deco-gusto-ldw-7019-4-pr.jpg";"4 ";14
"LDW 7018-4 BK";"Бра Lumina Deco Disposa LDW 7018-4 BK";Бра;Современный;16750;черный;черный;"металл, стекло, хрусталь";стекло;хром;;"Lumina Deco";G4;220-240;20;IP20;4;;;300;150;;DISPOSA;"https://luminadecoshop.ru/22343/bra-lumina-deco-disposa-ldw-7018-4-bk.jpg;https://luminadecoshop.ru/22639/bra-lumina-deco-disposa-ldw-7018-4-bk.jpg;https://luminadecoshop.ru/23099/bra-lumina-deco-disposa-ldw-7018-4-bk.jpg;https://luminadecoshop.ru/23109/bra-lumina-deco-disposa-ldw-7018-4-bk.jpg;https://luminadecoshop.ru/25626/bra-lumina-deco-disposa-ldw-7018-4-bk.jpg";"4 ";13
"LDW 7018-4 PR";"Бра Lumina Deco Disposa LDW 7018-4 PR";Бра;Современный;14800;"прозрачный, хром";прозрачный;"металл, стекло, хрусталь";стекло;хром;;"Lumina Deco";G4;220-240;20;IP20;4;;;300;150;;DISPOSA;"https://luminadecoshop.ru/22341/bra-lumina-deco-disposa-ldw-7018-4-pr.jpg;https://luminadecoshop.ru/22345/bra-lumina-deco-disposa-ldw-7018-4-pr.jpg;https://luminadecoshop.ru/23079/bra-lumina-deco-disposa-ldw-7018-4-pr.jpg;https://luminadecoshop.ru/23089/bra-lumina-deco-disposa-ldw-7018-4-pr.jpg;https://luminadecoshop.ru/25632/bra-lumina-deco-disposa-ldw-7018-4-pr.jpg";"4 ";18
"LDW 1726-2W MD";"Бра Lumina Deco Alessia LDW 1726-2W MD";Бра;Классический;16320;бронза;;"металл, хрусталь, ткань";ткань;бронза;;"Lumina Deco";E27;220-240;40;IP20;2;;150;300;400;;ALESSIA;"https://luminadecoshop.ru/22730/bra-lumina-deco-alessia-ldw-1726-2w-md.jpg;https://luminadecoshop.ru/22734/bra-lumina-deco-alessia-ldw-1726-2w-md.jpg;https://luminadecoshop.ru/25692/bra-lumina-deco-alessia-ldw-1726-2w-md.jpg";4,5;15
"LDW 1158-2 WT";"Бра Lumina Deco Federrica LDW 1158-2 WT";Бра;Классический;12350;"белый, хром";белый;"металл, хрусталь, ткань";ткань;хром;;"Lumina Deco";E27;220-240;40;IP20;2;;150;400;450;;FEDERRICA;"https://luminadecoshop.ru/28271/bra-lumina-deco-federrica-ldw-1158-2-wt.jpg;https://luminadecoshop.ru/28339/bra-lumina-deco-federrica-ldw-1158-2-wt.jpg;https://luminadecoshop.ru/28340/bra-lumina-deco-federrica-ldw-1158-2-wt.jpg";"4 ";22
"LDP 711-1 CHR";"Подвесной светильник Lumina Deco Setorre LDP 711-1 CHR";Светильники;Лофт;15480;хром;хром;металл;металл;хром;"прозрачный, хром";"Lumina Deco";E27;220-240;40;IP20;1;270;270;;300;"350 - 1000";SETORRE;"https://luminadecoshop.ru/22875/podvesnoj-svetilnik-lumina-deco-setorre-ldp-711-1-chr.jpg;https://luminadecoshop.ru/22876/podvesnoj-svetilnik-lumina-deco-setorre-ldp-711-1-chr.jpg;https://luminadecoshop.ru/22877/podvesnoj-svetilnik-lumina-deco-setorre-ldp-711-1-chr.jpg;https://luminadecoshop.ru/22878/podvesnoj-svetilnik-lumina-deco-setorre-ldp-711-1-chr.jpg;https://luminadecoshop.ru/25754/podvesnoj-svetilnik-lumina-deco-setorre-ldp-711-1-chr.jpg";2;8
"LDT 5501 MD";"Настольная лампа Lumina Deco Parmio LDT 5501 MD";"Настольные лампы";Классический;21120;бронза;бронза;металл;металл;-;черный;"Lumina Deco";E27;220-240;40;IP20;1;;200;350;550;да;PARMIO;"https://luminadecoshop.ru/22884/nastolnaya-lampa-lumina-deco-parmio-ldt-5501-md.jpg;https://luminadecoshop.ru/22888/nastolnaya-lampa-lumina-deco-parmio-ldt-5501-md.jpg;https://luminadecoshop.ru/25714/nastolnaya-lampa-lumina-deco-parmio-ldt-5501-md.jpg";4,5;6
